frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
67,0.576652,0.560128,0.192237,0.185962,0.003271,-0.013463,0.5539646899700165,0,0
68,0.577160,0.559436,0.192371,0.186458,0.004013,0.014850,0.5539646899700165,0,0
69,0.577530,0.558558,0.192484,0.186330,0.003386,-0.003824,0.5539646899700165,0,0
70,0.577669,0.558979,0.192596,0.187024,0.003354,0.020775,0.5539646899700165,0,0
71,0.578167,0.565675,0.192635,0.188557,0.001172,0.045972,0.5539646899700165,0,0
72,0.577882,0.572363,0.192501,0.190311,-0.004034,0.052545,0.5539646899700165,0,0
73,0.576457,0.574759,0.192165,0.191666,-0.010051,0.040602,0.5539646899700165,0,0
74,0.575148,0.577868,0.191828,0.192330,-0.010124,0.019909,0.5539646899700165,0,0
75,0.574842,0.578342,0.191630,0.192765,-0.005908,0.013033,0.5539646899700165,0,0
76,0.574683,0.578672,0.191538,0.193201,-0.002768,0.013065,0.5539646899700165,0,0
77,0.574317,0.581792,0.191484,0.193685,-0.001612,0.014526,0.5539646899700165,0,0
78,0.574358,0.582704,0.191454,0.194248,-0.000904,0.016878,0.5539646899700165,0,0
79,0.574411,0.583741,0.191448,0.194566,-0.000188,0.009531,0.5539646899700165,0,0
80,0.574261,0.584654,0.191441,0.194793,-0.000188,0.006780,0.5539646899700165,0,0
81,0.574301,0.584740,0.191432,0.194957,-0.000270,0.004912,0.5539646899700165,0,0
82,0.574330,0.585216,0.191462,0.195178,0.000873,0.006649,0.5539646899700165,0,0
83,0.574523,0.586650,0.191488,0.195549,0.000802,0.011116,0.5539646899700165,0,0
84,0.574542,0.588078,0.191552,0.195898,0.001907,0.010451,0.5539646899700165,0,0
85,0.574903,0.588354,0.191690,0.196173,0.004145,0.008226,0.5539646899700165,0,0
86,0.575768,0.589120,0.191975,0.196352,0.008527,0.005386,0.5539646899700165,0,0
87,0.577103,0.589695,0.192186,0.196457,0.006325,0.003155,0.5539646899700165,0,0
88,0.576802,0.589302,0.192266,0.196558,0.002406,0.003009,0.5539646899700165,0,0
89,0.576490,0.590024,0.192230,0.196726,-0.001081,0.005042,0.5539646899700165,0,0
90,0.576778,0.591209,0.192352,0.197028,0.003644,0.009048,0.5539646899700165,0,0
91,0.577897,0.592019,0.192562,0.197322,0.006288,0.008808,0.5539646899700165,0,0
92,0.578379,0.592669,0.192713,0.197467,0.004526,0.004341,0.5539646899700165,0,0
93,0.578137,0.592513,0.192637,0.197552,-0.002254,0.002542,0.5539646899700165,0,0
94,0.577220,0.592782,0.192504,0.197620,-0.003982,0.002055,0.5539646899700165,0,0
95,0.577183,0.593286,0.192267,0.197792,-0.007118,0.005160,0.5539646899700165,0,0
96,0.575999,0.594063,0.192139,0.197438,-0.003840,-0.010610,0.5539646899700165,0,0
97,0.576067,0.589596,0.192034,0.197263,-0.003146,-0.005253,0.5539646899700165,0,0
98,0.576238,0.591709,0.192058,0.197186,0.000734,-0.002313,0.5539646899700165,0,0
99,0.576220,0.593368,0.192067,0.197636,0.000274,0.013481,0.5539646899700165,0,0
100,0.576149,0.593644,0.192034,0.198031,-0.001009,0.011848,0.5539646899700165,0,0
101,0.575935,0.595267,0.192028,0.198409,-0.000171,0.011317,0.5539646899700165,0,0
102,0.576168,0.596766,0.192118,0.198778,0.002681,0.011064,0.5539646899700165,0,0
103,0.576954,0.596967,0.192271,0.198926,0.004611,0.004437,0.5539646899700165,0,0
104,0.577320,0.596599,0.192403,0.198881,0.003959,-0.001332,0.5539646899700165,0,0
105,0.577357,0.596366,0.192451,0.198833,0.001439,-0.001464,0.5539646899700165,0,0
106,0.577386,0.596527,0.192535,0.198819,0.002497,-0.000394,0.5539646899700165,0,0
107,0.578070,0.596481,0.192916,0.198308,0.011423,-0.015312,0.5539646899700165,0,0
