frame_index,timestamp_sec,foot_x,foot_y,nose_y,airborne,selected_takeoff,selected_landing
0,0.000,0.21042319387197495,0.9324318766593933,0.5958757400512695,0,0,0
1,0.033,0.2193310484290123,0.9342592358589172,0.5936629176139832,0,0,0
2,0.067,0.22809694707393646,0.9378508031368256,0.5958886742591858,0,0,0
3,0.100,0.24428049474954605,0.9426259100437164,0.5937197208404541,0,0,0
4,0.133,0.253317266702652,0.9471135139465332,0.5946527123451233,0,0,0
5,0.167,0.2563948333263397,0.9486479461193085,0.594610869884491,0,0,0
6,0.200,0.26313990354537964,0.9507290422916412,0.5969568490982056,0,0,0
7,0.233,0.2760990411043167,0.94951531291008,0.6000676155090332,0,0,0
8,0.267,0.28034834563732147,0.9544057548046112,0.59564608335495,0,0,0
9,0.300,0.3083171844482422,0.953291654586792,0.6007130742073059,0,0,0
10,0.333,0.294497087597847,0.9501683413982391,0.5929670333862305,0,0,0
11,0.367,0.30006787180900574,0.9491659998893738,0.592940092086792,0,0,0
12,0.400,0.3051742613315582,0.9475897550582886,0.5930947065353394,0,0,0
13,0.433,0.3135000914335251,0.9439302682876587,0.5953001379966736,0,0,0
14,0.467,0.31478238105773926,0.9457008540630341,0.5978383421897888,0,0,0
15,0.500,0.32052282989025116,0.9421058893203735,0.597815215587616,0,0,0
16,0.533,0.32766179740428925,0.9456213414669037,0.5978174209594727,0,0,0
17,0.567,0.3345926105976105,0.9485381245613098,0.5995007157325745,0,0,0
18,0.600,0.33831556141376495,0.9483482539653778,0.5968925952911377,0,0,0
19,0.633,0.34156930446624756,0.9498233497142792,0.5948187112808228,0,0,0
20,0.667,0.3466315418481827,0.9494596719741821,0.5977583527565002,0,0,0
21,0.700,0.36053358018398285,0.9472567737102509,0.5977351665496826,0,0,0
22,0.733,0.36789944767951965,0.9478871524333954,0.5970352292060852,0,0,0
23,0.767,0.3758662939071655,0.9453639984130859,0.5992116928100586,0,0,0
24,0.800,,, ,0,0,0
25,0.833,0.38096126914024353,1.0194710493087769,0.6596006751060486,0,0,0
26,0.867,0.38403813540935516,1.0024805068969727,0.643927812576294,0,0,0
27,0.900,0.38449726998806,1.001846581697464,0.6328268051147461,0,0,0
28,0.933,0.40237896144390106,0.9857671558856964,0.6229760646820068,0,0,0
29,0.967,0.4135396331548691,0.9663896858692169,0.6093904972076416,0,0,0
30,1.000,0.4178599715232849,0.9504663050174713,0.5979010462760925,0,0,0
31,1.033,0.4205263555049896,0.9381983876228333,0.5904517769813538,0,0,0
32,1.067,0.4227549135684967,0.9290926456451416,0.5753757357597351,0,0,0
33,1.100,0.4297693967819214,0.918060302734375,0.565438449382782,0,0,0
34,1.133,,, ,0,0,0
35,1.167,0.4585849791765213,0.8192927241325378,0.45206934213638306,0,0,0
