frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
68,0.717392,0.668492,0.238535,0.222842,0.005907,-0.086048,0.6670482850074768,0,0
69,0.714100,0.666968,0.237487,0.222086,-0.031363,-0.022615,0.6670482850074768,0,0
70,0.705892,0.663318,0.233599,0.221728,-0.116321,-0.010735,0.6670482850074768,0,0
71,0.682399,0.665262,0.227873,0.221801,-0.171311,0.002207,0.6670482850074768,0,0
72,0.662563,0.667632,0.217837,0.221891,-0.300240,0.002681,0.6670482850074768,1,0
73,0.615569,0.664124,0.210155,0.222177,-0.229811,0.008551,0.6670482850074768,1,0
74,0.613263,0.667835,0.203990,0.222324,-0.184430,0.004393,0.6670482850074768,1,0
75,0.607080,0.668953,0.199773,0.222730,-0.126161,0.012172,0.6670482850074768,1,0
76,0.577615,0.667786,0.199768,0.221193,-0.000142,-0.045993,0.6670482850074768,1,0
77,0.613221,0.653998,0.201577,0.217706,0.054117,-0.104333,0.6670482850074768,1,0
78,0.623361,0.637566,0.205223,0.212181,0.109059,-0.165276,0.6670482850074768,1,0
79,0.610424,0.618065,0.203193,0.206199,-0.060738,-0.178950,0.6670482850074768,1,0
80,0.594949,0.600164,0.198938,0.200475,-0.127297,-0.171266,0.6670482850074768,1,0
81,0.585065,0.586043,0.194855,0.195844,-0.122128,-0.138544,0.6670482850074768,1,0
82,0.573684,0.576386,0.192390,0.192634,-0.073750,-0.096014,0.6670482850074768,1,0
83,0.572762,0.571279,0.190310,0.190315,-0.062228,-0.069381,0.6670482850074768,1,0
84,0.566344,0.565171,0.188171,0.187917,-0.064004,-0.071731,0.6670482850074768,1,0
85,0.554429,0.554807,0.186915,0.187130,-0.037569,-0.023544,0.6670482850074768,1,0
86,0.561460,0.564197,0.186114,0.186347,-0.023956,-0.023437,0.6670482850074768,1,0
87,0.559138,0.558120,0.187044,0.186960,0.027831,0.018339,0.6670482850074768,1,0
88,0.562802,0.560324,0.186986,0.186177,-0.001752,-0.023437,0.6670482850074768,1,0
89,0.560933,0.557146,0.199792,0.198833,0.383111,0.378644,0.6670482850074768,1,0
90,0.674391,0.672030,0.215031,0.214255,0.455916,0.461373,0.6670482850074768,0,0
91,0.699958,0.699121,0.231528,0.230618,0.493524,0.489514,0.6670482850074768,0,0
92,0.709402,0.704409,0.235438,0.233888,0.116966,0.097846,0.6670482850074768,0,0
93,0.709578,0.701466,0.236690,0.233992,0.037469,0.003100,0.6670482850074768,0,0
94,0.711230,0.700054,0.236856,0.233662,0.004975,-0.009861,0.6670482850074768,0,0
95,0.710899,0.701443,0.237122,0.233940,0.007944,0.008291,0.6670482850074768,0,0
96,0.711968,0.703960,0.237153,0.234663,0.000919,0.021643,0.6670482850074768,0,0
97,0.711506,0.706565,0.237301,0.235052,0.004435,0.011646,0.6670482850074768,0,0
98,0.712233,0.704946,0.237312,0.234973,0.000342,-0.002363,0.6670482850074768,0,0
99,0.712071,0.703249,0.237280,0.234447,-0.000970,-0.015747,0.6670482850074768,0,0
100,0.711214,0.701828,0.237152,0.233767,-0.003824,-0.020333,0.6670482850074768,0,0
101,0.711083,0.698830,0.237166,0.233214,0.000408,-0.016570,0.6670482850074768,0,0
102,0.712194,0.698264,0.237107,0.232911,-0.001748,-0.009051,0.6670482850074768,0,0
103,0.710688,0.699105,0.237172,0.233381,0.001925,0.014068,0.6670482850074768,0,0
104,0.711662,0.703062,0.236985,0.233858,-0.005572,0.014263,0.6670482850074768,0,0
105,0.710518,0.702555,0.236975,0.234256,-0.000294,0.011910,0.6670482850074768,0,0
106,0.710600,0.702688,0.236885,0.234268,-0.002694,0.000347,0.6670482850074768,0,0
107,0.710852,0.703166,0.236869,0.234217,-0.000481,-0.001525,0.6670482850074768,0,0
108,0.710373,0.702096,0.236769,0.234122,-0.002990,-0.002821,0.6670482850074768,0,0
109,0.709700,0.701839,0.236618,0.233960,-0.004539,-0.004864,0.6670482850074768,0,0
110,0.709486,0.701703,0.236493,0.233926,-0.003739,-0.001019,0.6670482850074768,0,0
111,0.709248,0.701790,0.236465,0.233961,-0.000838,0.001041,0.6670482850074768,0,0
