frame,raw_ankle_y,old_interp,interp_new,air_old,air_new
57,0.541186,0.541186,0.541186,1,1
58,0.546490,0.546490,0.546490,1,1
59,0.567194,0.567194,0.567194,1,1
60,0.590078,0.590078,0.590078,1,1
61,0.614670,0.614670,0.614670,1,1
62,0.637060,0.637060,0.637060,1,1
63,0.661833,0.661833,0.661833,1,1
64,0.676661,0.676661,0.676661,0,0
65,0.681083,0.681083,0.681083,0,0
66,0.682437,0.682437,0.682437,0,0
67,0.676979,0.676979,0.676979,0,0
68,0.671646,0.671646,0.671646,1,1
69,0.668065,0.668065,0.668065,1,1
70,0.665059,0.665059,0.665059,1,1
71,0.662334,0.662334,0.662334,1,1
72,0.653626,0.653626,0.653626,1,1
73,0.646335,0.646335,0.646335,1,1
74,0.639202,0.639202,0.639202,1,1
75,0.631012,0.631012,0.631012,1,1
76,0.620810,0.620810,0.620810,1,1
77,0.612270,0.612270,0.612270,1,1
78,0.603240,0.603240,0.603240,1,1
79,0.593277,0.593277,0.593277,1,1
80,0.582985,0.582985,0.582985,1,1
81,0.572990,0.572990,0.572990,1,1
82,0.561835,0.561835,0.561835,1,1
83,0.551587,0.551587,0.551587,1,1
84,0.544589,0.544589,0.544589,1,1
85,0.536408,0.536408,0.536408,1,1
86,0.526783,0.526783,0.526783,1,1
87,0.520324,0.520324,0.520324,1,1
88,0.511061,0.511061,0.511061,1,1
89,0.505224,0.505224,0.505224,1,1
90,0.498076,0.498076,0.498076,1,1
91,0.489852,0.489852,0.489852,1,1
92,0.478410,0.478410,0.478410,1,1
93,0.465048,0.465048,0.465048,1,1
94,0.459160,0.459160,0.459160,1,1
95,0.454708,0.454708,0.454708,1,1
96,0.450913,0.450913,0.450913,1,1
97,0.446550,0.446550,0.446550,1,1
98,0.443135,0.443135,0.443135,1,1
99,0.439000,0.439000,0.439000,1,1
100,0.432518,0.432518,0.432518,1,1
101,0.426154,0.426154,0.426154,1,1
102,0.420283,0.420283,0.420283,1,1
103,0.414274,0.414274,0.414274,1,1
104,0.409557,0.409557,0.409557,1,1
105,0.403516,0.403516,0.403516,1,1
106,0.398770,0.398770,0.398770,1,1
107,0.393470,0.393470,0.393470,1,1
108,0.388053,0.388053,0.388053,1,1
109,0.381407,0.381407,0.381407,1,1
110,0.373982,0.373982,0.373982,1,1
111,0.369483,0.369483,0.369483,1,1
112,0.361559,0.361559,0.361559,1,1
113,0.352174,0.352174,0.352174,1,1
114,0.347423,0.347423,0.347423,1,1
115,0.348163,0.348163,0.348163,1,1
116,0.337561,0.337561,0.337561,1,1
117,0.339494,0.339494,0.339494,1,1
118,0.340663,0.340663,0.340663,1,1
119,0.347408,0.347408,0.347408,1,1
120,0.348736,0.348736,0.348736,1,1
121,0.370131,0.370131,0.370131,1,1
122,0.362943,0.362943,0.362943,1,1
123,,0.362943,,1,0
124,,0.362943,,1,0
125,,0.362943,,1,0
126,,0.362943,,1,0
127,,0.362943,,1,0
128,,0.362943,,1,0
129,,0.362943,,1,0
130,,0.362943,,1,0
131,,0.362943,,1,0
132,,0.362943,,1,0
133,,0.362943,,1,0
134,,0.362943,,1,0
135,,0.362943,,1,0
136,,0.362943,,1,0
137,,0.362943,,1,0
138,,0.362943,,1,0
139,,0.362943,,1,0
140,,0.362943,,1,0
141,,0.362943,,1,0
142,,0.362943,,1,0
143,,0.362943,,1,0
144,,0.362943,,1,0
145,,0.362943,,1,0
146,,0.362943,,1,0
147,,0.362943,,1,0
148,,0.362943,,1,0
149,,0.362943,,1,0
